
1970,47.69,51.19,52.63,48.00,45.06,41.25,45.81,46.06,45.00,43.06,45.00,49.25,
1971,53.31,49.19,48.88,48.50,44.63,45.44,43.88,43.00,42.75,42.25,41.63,45.00,
1972,45.06,43.56,42.94,42.88,42.50,41.56,41.88,43.69,47.00,48.25,51.88,53.00,
1973,52.88,49.88,50.94,51.50,51.50,51.19,51.69,47.31,51.88,48.75,47.19,50.31,
1974,50.50,52.31,49.75,47.19,46.00,46.44,42.38,42.13,41.44,46.38,42.56,44.56,
1975,48.38,50.25,49.69,48.75,49.19,50.94,49.00,46.00,45.88,49.38,50.50,50.88,
1976,55.06,56.25,56.38,57.31,54.56,56.58,57.25,59.44,60.13,60.69,61.44,63.38,
1977,63.06,63.50,62.63,62.75,62.88,63.31,62.69,60.31,63.19,59.38,59.00,60.38,
1978,57.81,59.75,61.31,62.63,60.88,60.06,60.25,60.63,62.06,60.63,60.38,60.69,
1979,63.19,61.31,61.19,58.43,57.56,57.63,57.38,56.56,55.25,53.38,53.63,52.13,
1980,50.56,48.25,48.19,52.50,53.31,52.50,51.94,53.13,51.56.3,49.50,47.25,48.06,
1981,51.75,51.56.3,51.63,55.50,57.69,56.56,56.38,55.88,57.81,58.63,59.75,58.81,
1982,59.88,54.44,56.44,54.38,53.00,51.00,52.31,56.31,56.50,59.31,59.50,59.63,
1983,68.81,66.94,65.06,67.69,66.13,63.44,61.19,65.31,65.13,61.56,64.50,61.43,
Post Divestiture,
1984,17.38,17.00,15.63,16.00,15.38,17.25,17.75,19.13,19.88,18.50,18.88,19.75,
1985,20.50,21.25,21.63,21.00,23.38,24.13,21.50,21.25,20.88,20.75,23.50,25.00,
1986,21.25,22.63,22.13,24.75,25.13,25.38,23.63,24.63,22.75,25.00,27.13,25.13,
1987,24.88,22.50,23.63,24.25,25.75,27.63,32.00,33.75,33.75,29.63,26.88,27.00,
1988,30.00,29.38,27.00,26.50,27.25,26.88,26.75,24.38,26.13,28.63,29.75,28.75,
1989,31.50,30.25,31.50,35.00,35.50,35.00,40.63,40.13,44.00,44.25,43.75,45.50,
1990,39.00,39.75,42.00,40.13,43.13,38.63,37.00,31.38,31.00,34.00,32.13,30.13,
1991,32.75,33.38,34.38,37.50,37.13,38.25,39.88,39.00,37.50,38.75,36.25,39.13,
1992,37.25,374.13,40.75,43.25,43.25,43.00,43.88,42.25,43.63,43.63,47.13,52.00,
1993,52.88,55.88,56.75,55.88,61.50,63.00,63.38,62.88,58.88,57.50,54.63,52.50,
1994,56.75,52.50,51.25,51.25,54.63,54.38,54.63,54.63,54.00,55.00,49.13,50.25,
1995,49.88,51.63,51.75,50.75,50.75,53.00,52.75,56.63,65.75,64.00,65.88,64.75,
1996,66.88,63.50,61.13,61.25,62.38,62.00,52.25,52.50,37.75,35.00,39.25,41.75,
1997,39.38,39.88,34.88,33.50,36.75,35.06,36.81,39.00,44.25,48.88,55.88,61.31,
1999,90.75,82.13,79.81,50.50,55.50,55.81,52.13,45.00,43.50,46.75,55.88,50.81,
2000,52.75,49.38,56.31,45.88,34.94,31.81,30.74,31.63,29.00,23.19,19.63,17.25,
2001,23.98,23.00,21.30,22.28,21.17,22.00,20.21,19.04,19.30,15.25,17.49,18.14,
2002,17.70,15.54,15.70,13.12,11.97,10.70,10.18,12.22,12.01,13.04,28.04,26.11,
2003,19.48,18.54,16.20,17.05,19.49,19.25,21.26,22.30,21.55,18.59,19.83,20.30,
2004,19.46,20.03,19.57,17.15,16.58,14.63,15.10,14.78,14.32,17.11,18.30,19.06,
2005,19.19,19.43,18.75,19.13,18.99,19.04,19.80,19.68,19.80,19.78,*20.35,,
Prices are at month end and not adjusted for splits.,*at 11/18/2005,
Pre-Divestiture Prices are High-Low Average Last Market Day of Month,
